customer_id,amount,txn_time,merchant,txn_type,channel
1017,10041.24,2025-02-26 14:36:08,JB HiFi,atm,branch
1099,14246.97,2025-02-14 09:42:36,JB HiFi,debit,online
1026,11383.4,2025-02-10 02:41:59,Apple,debit,online
1099,1172.53,2025-02-25 01:49:39,Woolworths,credit,branch
1095,7344.46,2025-04-10 21:40:42,JB HiFi,transfer,mobile app
1066,6180.12,2025-04-25 15:06:51,Uber,credit,branch
1059,9027.55,2025-02-24 20:38:50,Apple,debit,mobile app
1038,13170.25,2025-01-16 21:34:42,Woolworths,transfer,mobile app
1044,17852.51,2025-05-03 17:17:27,Woolworths,debit,branch
1092,8852.59,2025-03-31 12:14:34,Amazon,credit,online
1044,19858.94,2025-02-14 16:20:40,Apple,atm,branch
1098,1661.91,2025-02-01 14:23:56,JB HiFi,credit,mobile app
1054,14694.95,2025-01-03 05:24:58,Amazon,credit,online
1070,13845.58,2025-02-03 05:51:36,Amazon,transfer,online
1040,16252.71,2025-02-28 13:53:07,Amazon,transfer,branch
1021,19994.07,2025-02-24 18:05:32,unknown,transfer,online
1090,11402.49,2025-04-03 06:33:28,Woolworths,transfer,online
1019,11816.21,2025-01-05 19:31:01,Woolworths,debit,branch
1030,9673.21,2025-03-08 23:41:56,Woolworths,transfer,mobile app
1087,11121.64,2025-01-09 15:17:58,unknown,atm,branch
1012,430.52,2025-05-03 03:24:08,Uber,atm,online
1018,19463.45,2025-02-08 04:45:04,JB HiFi,debit,mobile app
1053,14551.03,2025-01-07 08:29:30,Apple,credit,branch
1080,9969.68,2025-02-08 07:49:23,Apple,credit,online
1097,9855.32,2025-03-10 15:42:43,unknown,atm,branch
1079,10109.06,2025-01-10 21:05:22,unknown,atm,online
1004,11833.23,2025-02-11 02:48:38,Amazon,debit,mobile app
1025,1335.79,2025-04-02 13:23:49,Apple,atm,mobile app
1084,1426.35,2025-01-22 23:05:42,Woolworths,debit,branch
1024,9095.19,2025-03-01 11:28:18,Uber,atm,mobile app
1076,13753.82,2025-03-12 04:23:14,Apple,debit,branch
1066,6716.67,2025-04-29 08:04:05,JB HiFi,debit,mobile app
1030,2784.67,2025-02-09 13:30:27,Woolworths,transfer,branch
1092,7384.61,2025-04-09 12:45:50,JB HiFi,transfer,mobile app
1030,13405.27,2025-03-20 22:58:17,unknown,credit,mobile app
1009,8946.87,2025-05-05 00:34:32,Uber,transfer,online
